Summary,1
This,1
dataset,1
ml,1
latest,1
describes,1
5,1
star,1
rating,1
and,1
free,1
text,1
tagging,1
activity,1
from,1
MovieLens,1
http,1
movielens,1
org,1
a,1
movie,1
recommendation,1
service,1
It,1
contains,1
27753444,1
ratings,1
and,2
1108997,1
tag,1
applications,1
across,1
58098,1
movies,1
These,1
data,1
were,1
created,1
by,1
283228,1
users,1
between,1
January,1
09,1
1995,1
and,3
September,1
26,1
2018,1
This,2
dataset,2
was,1
generated,1
on,1
September,2
26,2
2018,2
Users,1
were,2
selected,1
at,1
random,1
for,1
inclusion,1
All,1
selected,2
users,2
had,1
rated,1
at,2
least,1
1,1
movies,2
No,1
demographic,1
information,1
is,1
included,1
Each,1
user,1
is,2
represented,1
by,2
an,1
id,1
and,4
no,1
other,1
information,2
is,3
provided,1
The,1
data,2
are,1
contained,1
in,1
the,1
files,1
genome,1
scores,1
csv,1
genome,2
tags,1
csv,2
links,1
csv,3
movies,3
csv,4
ratings,2
csv,5
and,5
tags,2
csv,6
More,1
details,1
about,1
the,2
contents,1
and,6
use,1
of,1
all,1
these,1
files,2
follows,1
This,3
is,4
a,2
development,1
dataset,3
As,1
such,1
it,1
may,1
change,1
over,1
time,1
and,7
is,5
not,1
an,2
appropriate,1
dataset,4
for,2
shared,1
research,1
results,1
See,1
available,1
benchmark,1
datasets,1
if,1
that,1
is,6
your,1
intent,1
This,4
and,8
other,2
GroupLens,1
data,3
sets,1
are,2
publicly,1
available,2
for,3
download,1
at,3
http,2
grouplens,1
org,2
datasets,2
Usage,1
License,1
Neither,1
the,3
University,1
of,2
Minnesota,1
nor,1
any,1
of,3
the,4
researchers,1
involved,1
can,1
guarantee,1
the,5
correctness,1
of,4
the,6
data,4
its,1
suitability,1
for,4
any,2
particular,1
purpose,1
or,1
the,7
validity,1
of,5
results,2
based,1
on,2
the,8
use,2
of,6
the,9
data,5
set,1
The,2
data,6
set,2
may,2
be,1
used,1
for,5
any,3
research,2
purposes,1
under,1
the,10
following,1
conditions,1
The,3
user,2
may,3
not,2
state,1
or,2
imply,1
any,4
endorsement,1
from,2
the,11
University,2
of,7
Minnesota,2
or,3
the,12
GroupLens,2
Research,1
Group,1
The,4
user,3
must,1
acknowledge,1
the,13
use,3
of,8
the,14
data,7
set,3
in,2
publications,1
resulting,1
from,3
the,15
use,4
of,9
the,16
data,8
set,4
see,1
below,1
for,6
citation,1
information,3
The,5
user,4
may,4
not,3
redistribute,1
the,17
data,9
without,1
separate,1
permission,1
The,6
user,5
may,5
not,4
use,5
this,1
information,4
for,7
any,5
commercial,1
or,4
revenue,1
bearing,1
purposes,2
without,2
first,1
obtaining,1
permission,2
from,4
a,3
faculty,1
member,1
of,10
the,18
GroupLens,3
Research,2
Project,1
at,4
the,19
University,3
of,11
Minnesota,3
The,7
executable,1
software,1
scripts,1
are,3
provided,2
as,1
is,7
without,3
warranty,1
of,12
any,6
kind,1
either,1
expressed,1
or,5
implied,1
including,1
but,1
not,5
limited,1
to,1
the,20
implied,2
warranties,1
of,13
merchantability,1
and,9
fitness,1
for,8
a,4
particular,2
purpose,2
The,8
entire,1
risk,1
as,2
to,2
the,21
quality,1
and,10
performance,1
of,14
them,1
is,8
with,1
you,1
Should,1
the,22
program,1
prove,1
defective,1
you,2
assume,1
the,23
cost,1
of,15
all,2
necessary,1
servicing,1
repair,1
or,6
correction,1
In,1
no,2
event,1
shall,1
the,24
University,4
of,16
Minnesota,4
its,2
affiliates,1
or,7
employees,1
be,2
liable,1
to,3
you,3
for,9
any,7
damages,1
arising,1
out,1
of,17
the,25
use,6
or,8
inability,1
to,4
use,7
these,2
programs,1
including,2
but,2
not,6
limited,2
to,5
loss,1
of,18
data,10
or,9
data,11
being,1
rendered,1
inaccurate,1
If,1
you,4
have,1
any,8
further,1
questions,1
or,10
comments,1
please,1
email,1
grouplens,2
info,1
umn,1
edu,1
Citation,1
To,1
acknowledge,2
use,8
of,19
the,26
dataset,5
in,3
publications,2
please,2
cite,1
the,27
following,2
paper,1
F,1
Maxwell,1
Harper,1
and,11
Joseph,1
A,1
Konstan,1
2015,1
The,9
MovieLens,2
Datasets,1
History,1
and,12
Context,1
ACM,1
Transactions,1
on,3
Interactive,1
Intelligent,1
Systems,1
TiiS,1
5,2
4,1
19,1
1,2
19,2
19,3
https,1
doi,1
org,3
10,1
1145,1
2827872,1
Further,1
Information,1
About,1
GroupLens,4
GroupLens,5
is,9
a,5
research,3
group,1
in,4
the,28
Department,1
of,20
Computer,1
Science,1
and,13
Engineering,1
at,5
the,29
University,5
of,21
Minnesota,5
Since,1
its,3
inception,1
in,5
1992,1
GroupLens,6
s,1
research,4
projects,1
have,2
explored,1
a,6
variety,1
of,22
fields,1
including,3
recommender,1
systems,1
online,1
communities,1
mobile,1
and,14
ubiquitious,1
technologies,1
digital,1
libraries,1
local,1
geographic,1
information,5
systems,2
GroupLens,7
Research,3
operates,1
a,7
movie,2
recommender,2
based,2
on,4
collaborative,1
filtering,1
MovieLens,3
which,1
is,10
the,30
source,1
of,23
these,3
data,12
We,1
encourage,1
you,5
to,6
visit,1
http,3
movielens,2
org,4
to,7
try,1
it,2
out,2
If,2
you,6
have,3
exciting,1
ideas,1
for,10
experimental,1
work,1
to,8
conduct,1
on,5
MovieLens,4
send,1
us,1
an,3
email,2
at,6
grouplens,3
info,2
cs,1
umn,2
edu,2
we,1
are,4
always,1
interested,1
in,6
working,1
with,2
external,1
collaborators,1
Content,1
and,15
Use,1
of,24
Files,1
Formatting,1
and,16
Encoding,1
The,10
dataset,6
files,3
are,5
written,1
as,3
comma,1
separated,1
